geoid,st_fip,co_fip,st_abbr,st_name,co_name,aland_m2,aland_ac,1995,2000,2001,2002,2003,2004,2005,2010,2015
01087,1,87,AL,Alabama,Macon,1576801788,389635.8629,330.5,4874.5,4609.8,5566.4,4463.8,4136.3,4421.8,4837.2,5049.9
01089,1,89,AL,Alabama,Madison,2076145098,513026.1729,2755,48725.5,52551.9,74005.7,51186.6,42792.3,52669.3,72829.4,73929.5
01091,1,91,AL,Alabama,Marengo,2530140238,625210.716,212.2,5777.3,3268.9,4116,2981.6,2677.9,4536.6,3591.7,7634.1
01093,1,93,AL,Alabama,Marion,1922656984,475098.4675,283,2667.9,3024.3,3127.7,3137.9,1309.1,2261,3726,2417.3
01095,1,95,AL,Alabama,Marshall,1465528724,362139.7142,985.4,4067.8,3858.3,2882.7,4787.3,3636.3,4317,6685.7,14767.6
01097,1,97,AL,Alabama,Mobile,3184127436,786814.3291,590.6,9787.6,15146.6,14276.7,12590.4,10015.8,10205.6,11239,20078
01099,1,99,AL,Alabama,Monroe,2656517454,656439.1785,320.2,20903.8,25697.2,17072.2,20944.6,16762.1,15229.8,21209.6,30961
01101,1,101,AL,Alabama,Montgomery,2033764493,502553.7066,282.8,2297.5,2674.9,3184.4,1984.4,2159.2,2233,4195.5,9362.7
01103,1,103,AL,Alabama,Morgan,1500602270,370806.5685,533.1,4564.5,4530.1,7165,5453.5,3898.3,3724.2,11263.1,12691.2
01105,1,105,AL,Alabama,Perry,1863885725,460575.7859,381,5639.9,3570.1,4216.5,2814.7,2781.8,4007.1,3685.6,14472.3
01107,1,107,AL,Alabama,Pickens,2282893859,564114.8592,281.6,5500.8,4186.1,4118.4,3292,2138.6,5420.4,1056.8,4722
01109,1,109,AL,Alabama,Pike,1740647521,430122.9894,800.1,4835.2,5966.2,4769.9,5426.6,5081.5,5543.6,8384.8,6165.1
01111,1,111,AL,Alabama,Randolph,1503615934,371551.2605,7.2,564,300.6,882.3,131.3,1185.7,391.3,121.9,964.2
01113,1,113,AL,Alabama,Russell,1660557977,410332.4496,189.4,2858.7,2992.9,2813.7,3491,3454.7,3757.4,5942.3,4408.5
01115,1,115,AL,Alabama,St. Clair,1636634176,404420.7549,2663.1,387,96.3,424.5,154.6,69,63.4,253,848.4
01117,1,117,AL,Alabama,Shelby,2034107820,502638.5445,174.2,5143,4534.8,4059.7,4996.5,3303.6,3797.4,1422.3,4755.8
01119,1,119,AL,Alabama,Sumter,2340898915,578448.208,114.2,866.4,523.6,1277.1,720.5,1053.3,854.2,679.2,4201.4
01121,1,121,AL,Alabama,Talladega,1908251622,471538.8281,398.3,13585.3,8137.3,6763.2,6339.3,4865.6,9614.7,2881.9,12411.3
01123,1,123,AL,Alabama,Tallapoosa,1855771079,458570.615,60.2,1400.7,1003.7,1172.3,1400.7,1167,604.3,278.8,1245
01125,1,125,AL,Alabama,Tuscaloosa,3421041792,845357.0897,276.7,7592.5,4955.6,4883.3,5340.6,3315.2,3726.4,1254,4979.9
01127,1,127,AL,Alabama,Walker,2048686077,506240.907,7.3,165.7,70.3,395.7,44.1,599.3,187.8,115.6,1133.6
01129,1,129,AL,Alabama,Washington,2797720370,691331.1481,72.3,2591,1821.8,1707.5,3080.8,1761.5,1869.4,1532.4,3659.4
01131,1,131,AL,Alabama,Wilcox,2301075110,568607.5402,62.6,2451.7,3335.1,3024.7,3941.7,3229.6,2873.8,1747.5,3867.6
01133,1,133,AL,Alabama,Winston,1587608917,392306.3602,75.5,84.7,91,225.8,298.5,110.4,96.8,188.4,439.9
02013,2,13,AK,Alaska,Aleutians East,18091325125,4470459.844,0,0,0,0,0,0,0,0,0
02016,2,16,AK,Alaska,Aleutians West,11376643262,2811227.288,0,0,0,0,0,0,0,0,0
02020,2,20,AK,Alaska,Anchorage,4419537010,1092090.413,0,0,0,0,0,0,0,0,0
02050,2,50,AK,Alaska,Bethel,1.05E+11,26002593.45,0,0,0,0,0,0,0,0,0
02060,2,60,AK,Alaska,Bristol Bay,1248342013,308471.7566,0,0,0,0,0,0,0,0,0
02068,2,68,AK,Alaska,Denali,32729613863,8087656.569,0,0,0,0,0,0,0,0,0
02070,2,70,AK,Alaska,Dillingham,47477685010,11731981.09,0,0,0,0,0,0,0,0,0
02090,2,90,AK,Alaska,Fairbanks North Star,18982307701,4690626.239,0,0,0,0,0,0,0,0,0
02100,2,100,AK,Alaska,Haines,6233111973,1540234.15,0,0,0,0,0,0,0,0,0
02105,2,105,AK,Alaska,Hoonah-Angoon,16981434901,4196200.239,0,0,0,0,0,0,0,0,0
02110,2,110,AK,Alaska,Juneau,6829216436,1687534.641,0,0,0,0,0,0,0,0,0
02122,2,122,AK,Alaska,Kenai Peninsula,41499900917,10254839.78,0,0,0,0,0,0,0,0,0
02130,2,130,AK,Alaska,Ketchikan Gateway,12579507052,3108461.141,0,0,0,0,0,0,0,0,0
02150,2,150,AK,Alaska,Kodiak Island,17134142683,4233935.121,0,0,0,0,0,0,0,0,0
02158,2,158,AK,Alaska,Kusilvak,44218384953,10926591.22,0,0,0,0,0,0,0,0,0
02164,2,164,AK,Alaska,Lake and Peninsula,61894488750,15294447.73,0,0,0,0,0,0,0,0,0
02170,2,170,AK,Alaska,Matanuska-Susitna,63760578688,15755568.19,0,0,0,0,0,0,0,0,0
02180,2,180,AK,Alaska,Nome,59496552709,14701905.36,0,0,0,0,0,0,0,0,0
02185,2,185,AK,Alaska,North Slope,2.30E+11,56848028.99,0,0,0,0,0,0,0,0,0
02188,2,188,AK,Alaska,Northwest Arctic,92326483031,22814350.64,0,0,0,0,0,0,0,0,0
02195,2,195,AK,Alaska,Petersburg,7513010884,1856503.779,0,0,0,0,0,0,0,0,0
02198,2,198,AK,Alaska,Prince of Wales-Hyder,13630288113,3368114.566,0,0,0,0,0,0,0,0,0
02220,2,220,AK,Alaska,Sitka,7433222810,1836787.734,0,0,0,0,0,0,0,0,0
02230,2,230,AK,Alaska,Skagway,1124107036,277772.6524,0,0,0,0,0,0,0,0,0
02240,2,240,AK,Alaska,Southeast Fairbanks,64290353013,15886478.16,0,0,0,0,0,0,0,0,0
02261,2,261,AK,Alaska,Valdez-Cordova,88635832004,21902371.72,0,0,0,0,0,0,0,0,0
02275,2,275,AK,Alaska,Wrangell,6619614514,1635740.924,0,0,0,0,0,0,0,0,0
02282,2,282,AK,Alaska,Yakutat,19746741191,4879521.701,0,0,0,0,0,0,0,0,0
02290,2,290,AK,Alaska,Yukon-Koyukuk,3.77E+11,93166290.91,0,0,0,0,0,0,0,0,0
04001,4,1,AZ,Arizona,Apache,29001298929,7166370.7,907.5,1362.1,470.1,25310.4,4136,806.4,964,3268.4,492.5
04003,4,3,AZ,Arizona,Cochise,15966166113,3945322.08,3245.5,11229.2,18777.8,10702.7,14652.3,17206,37670.4,28582.4,36228.9
04005,4,5,AZ,Arizona,Coconino,48222181220,11915949.95,3104.5,1697.3,387,33277.8,4953.8,884.2,288.1,5583.7,177
04007,4,7,AZ,Arizona,Gila,12323146398,3045113.1,336.2,86.1,185.8,31.9,91.8,87.3,194.9,47.5,62
04009,4,9,AZ,Arizona,Graham,11972778533,2958535.391,1179.6,12675.3,9825.8,13943.9,11254.3,14266.5,16577.4,20785.6,17808
04011,4,11,AZ,Arizona,Greenlee,4770701078,1178864.868,480.8,469.9,399.8,520,423.6,461.8,517.8,800,655.1
04012,4,12,AZ,Arizona,La Paz,11653980557,2879758.765,4615.3,8893.9,9303.7,9551.6,13508.9,13315.4,12239.2,29966.9,12527
04013,4,13,AZ,Arizona,Maricopa,23825875275,5887496.794,19141.3,49930.5,48424.3,47649,39050.8,45492.9,47344.4,48685,47599.6
04015,4,15,AZ,Arizona,Mohave,34475503964,8519075.027,6978.7,2240.2,2069.4,5253.8,1590.2,8022,4041.7,2369.4,4493.3
04017,4,17,AZ,Arizona,Navajo,25770094249,6367923.34,152.7,1210.4,425,21505.7,4122.4,801.9,658.4,2016.2,614.8
04019,4,19,AZ,Arizona,Pima,23794788865,5879815.181,1515,6032.2,5970.6,11999.2,7759,7970.9,7324.8,8567,9514.4
04021,4,21,AZ,Arizona,Pinal,13897471114,3434136.865,10083.1,59047.8,57141.3,58764.3,56654.9,77258.6,99801.4,98370.9,82633.3
04023,4,23,AZ,Arizona,Santa Cruz,3203613249,791629.3741,261.3,61.3,169.5,496.3,371.5,199.8,250.6,542.3,224.4
04025,4,25,AZ,Arizona,Yavapai,21039796372,5199042.312,449.8,422.4,447.7,3949.2,1032.4,398.3,630.8,1262.8,888.7
04027,4,27,AZ,Arizona,Yuma,14281265651,3528974.477,4843.7,29288.9,45641.6,44114.3,50896.8,45017.6,49772.7,42023.4,36905.4
05001,5,1,AR,Arkansas,Arkansas,2560988637,632833.5146,4319.8,39480.3,59107.7,54416.7,98703.5,87108.1,106404.9,122951.7,121879.3
05003,5,3,AR,Arkansas,Ashley,2396650149,592224.6258,694.6,37977.4,56552.8,72565.2,53923.6,74487.9,74663.1,68112.5,87662.5
05005,5,5,AR,Arkansas,Baxter,1435438032,354704.1489,46,33.9,253.8,268.7,81.4,17,46.8,875.1,24.4
05007,5,7,AR,Arkansas,Benton,2195019818,542400.7299,380.2,776.5,2948.1,1338.5,608,2740.1,207.8,2821.6,1562.1
05009,5,9,AR,Arkansas,Boone,1528076369,377595.5603,172.1,434.9,2689.6,938,275.6,77.4,113.1,2423.7,861.9
05011,5,11,AR,Arkansas,Bradley,1681514463,415510.9055,828.7,37.7,1.8,50.4,53.2,23.9,12.1,590.8,20.3
05013,5,13,AR,Arkansas,Calhoun,1627975434,402281.135,25.8,33.2,66.5,55.1,41.3,27,50.5,393.1,15.6
05015,5,15,AR,Arkansas,Carroll,1631597803,403176.2411,145,416.8,2395.7,863,260.4,117.9,94.7,2422.6,840.2
05017,5,17,AR,Arkansas,Chicot,1668823393,412374.8766,1199.3,66846.1,91628.9,87945.9,74712.9,119313.6,95733.9,94882.1,218659.6
05019,5,19,AR,Arkansas,Clark,2243130473,554289.1212,111.9,3588.7,2201.7,3119.3,3111.4,3512.7,31448.7,38529.7,2408.3
05021,5,21,AR,Arkansas,Clay,1656214466,409259.1456,712.5,60689.4,71452.1,86678.2,106350,107506.2,122649.7,92909.1,168248.1
05023,5,23,AR,Arkansas,Cleburne,1434168142,354390.3525,50.1,262.4,369.8,515.5,327,230.7,127.6,1368,1214.9
05025,5,25,AR,Arkansas,Cleveland,1548252545,382581.1975,42.2,58.1,3.8,48.8,20.1,34.3,13.9,1157.2,51.6
05027,5,27,AR,Arkansas,Columbia,1983889573,490229.3563,30.5,106.1,33.4,150.6,125.8,67.4,49.3,1220,37.6
05029,5,29,AR,Arkansas,Conway,1430330693,353442.0991,425.9,12213.5,12038.6,9391.7,9824.8,12025,4581.8,21273.6,14085.1
05031,5,31,AR,Arkansas,Craighead,1831867347,452663.8794,977.1,63335.6,115971.8,135044.4,152429.5,164916.4,184685.8,121142.7,210356.1
05033,5,33,AR,Arkansas,Crawford,1531188224,378364.5157,115,9256.3,11701.2,19864.6,6240.5,8613.6,2449.7,9919.2,2699.4
05035,5,35,AR,Arkansas,Crittenden,1580755099,390612.7464,4507.5,54488.2,85309.3,72349.3,112281.7,124060.9,131207.2,150798.9,117053
05037,5,37,AR,Arkansas,Cross,1596421812,394484.0721,4358.3,35397.9,48506.3,43338.8,75385.7,74725,81628.6,107465.2,102834.5
05039,5,39,AR,Arkansas,Dallas,1728522517,427126.8383,13.5,266.5,256.3,378,348.9,402.2,4306.5,416.7,7.6
05041,5,41,AR,Arkansas,Desha,1989461629,491606.2401,1159.5,73692.3,111749.6,114017,104607.2,137555.1,128442.2,86389.8,209687.6
05043,5,43,AR,Arkansas,Drew,2145434146,530147.8544,325.2,20896.4,29597.3,29285.7,26906.3,35046.8,37938.4,26252.1,55696.8
05045,5,45,AR,Arkansas,Faulkner,1678176463,414686.0685,221.2,6083.3,4575.1,3420.8,4273.4,7038.6,2785.8,10082,4817.2
05047,5,47,AR,Arkansas,Franklin,1576930289,389667.6161,161.6,1687.5,1955.2,2769.1,1064.3,1079,332.1,2257.1,771.7
05049,5,49,AR,Arkansas,Fulton,1601111649,395642.955,100.3,155.2,669.4,778.7,212.7,31.3,122.6,2012.5,159.4
05051,5,51,AR,Arkansas,Garland,1755290919,433741.4487,33.2,12.5,3.9,69,38.3,27.3,9.1,614,100.6
05053,5,53,AR,Arkansas,Grant,1636384394,404359.0324,27.1,12.7,16.5,49.6,54.9,25.4,25.3,776.8,218
05055,5,55,AR,Arkansas,Greene,1496205815,369720.1818,465.6,40496.2,46478.3,61380.9,65879.3,69528.3,72138.3,62835.7,92680.7
05057,5,57,AR,Arkansas,Hempstead,1884268212,465612.4037,84.4,738.5,1653.9,1258,980.4,764.3,1643.5,974.2,574.2
05059,5,59,AR,Arkansas,Hot Spring,1593376791,393731.6317,75.4,1367.3,1326.8,1553.3,1547.7,1549.3,875.9,1506.3,404.3
05061,5,61,AR,Arkansas,Howard,1524380220,376682.2228,100.3,4.5,79.1,196.7,296.8,184,247.4,356.1,436.6
05063,5,63,AR,Arkansas,Independence,1978631574,488930.0776,192.5,15003.2,11607,22885.5,22215.8,24677,21118.4,22397.6,29104.4
05065,5,65,AR,Arkansas,Izard,1503683620,371567.986,97.9,54.2,444.8,509.5,162.7,49.3,75.4,1539.5,286.7
05067,5,67,AR,Arkansas,Jackson,1641853230,405710.41,505.9,65303,56744.7,68724.6,89998,95138.7,97799.8,84213.4,121050.5
05069,5,69,AR,Arkansas,Jefferson,2253166949,556769.1862,1238.6,72891,101911.3,98771.5,88374.4,129250.4,104802.4,82680.3,161594.5
05071,5,71,AR,Arkansas,Johnson,1709103300,422328.2496,195,3064.3,5137.1,8273.7,1982.4,2678.3,612.8,3860.2,1251
05073,5,73,AR,Arkansas,Lafayette,1368278178,338108.6022,585,4577.3,13176.1,10875.7,4971.7,20322.1,23917,37798.5,14106.1
05075,5,75,AR,Arkansas,Lawrence,1521880659,376064.5683,511.2,41244.7,35614.5,45025.4,51100.8,60604.3,56363.3,51743.5,64592.5
05077,5,77,AR,Arkansas,Lee,1560781749,385677.2285,3898.3,49123,89875.8,76930.5,103053.8,130366.2,122709.6,120567.1,94435.3
05079,5,79,AR,Arkansas,Lincoln,1454438336,359399.2221,596.7,41799.3,61300.9,64850,52417.3,74602.7,68128,51619.6,118705
05081,5,81,AR,Arkansas,Little River,1378586566,340655.8581,191.5,4421.7,10453.6,7862.1,5461.5,5475.6,16087.3,22962.4,6176.9
05083,5,83,AR,Arkansas,Logan,1834026181,453197.3384,117.9,5039.5,8807.7,12875.7,3361.9,5020.6,1214.4,8376.8,2479.5
05085,5,85,AR,Arkansas,Lonoke,1996628025,493377.0936,4133.4,36228.5,57341.6,54233.7,77381.8,81473.3,80836.5,89182.6,97204.4
05087,5,87,AR,Arkansas,Madison,2160705134,533921.3944,166.6,313.6,1854.5,659.2,189.9,46.4,73.7,2189.1,960
05089,5,89,AR,Arkansas,Marion,1546109507,382051.6418,69.3,50,384.9,417.9,120,23.1,61.7,1360.5,103.7
05091,5,91,AR,Arkansas,Miller,1620232433,400367.7995,432.3,8053.9,22031,14632.5,9450.7,14120.7,32304.7,56423.5,4583.5
05093,5,93,AR,Arkansas,Mississippi,2332480068,576367.8674,1616.7,127007.6,240166.9,238433.9,312650.6,330251.4,377895.6,240257.4,336406.9
05095,5,95,AR,Arkansas,Monroe,1572480973,388568.1672,2643.3,26441.3,39888.6,35298.9,53013.4,63765.6,70009.9,76694.7,75782.8
05097,5,97,AR,Arkansas,Montgomery,2019824136,499108.9724,27.1,1.6,2.5,103.1,95.7,78.5,21.1,0,0
05099,5,99,AR,Arkansas,Nevada,1600192985,395415.9484,45.4,337.2,139.4,381.9,335.4,298.6,700.2,2047.8,96.4
05101,5,101,AR,Arkansas,Newton,2126136365,525379.2731,56.9,166.7,812.3,286.9,86.2,20.3,44.8,949.3,321.4
05103,5,103,AR,Arkansas,Ouachita,1897898732,468980.5756,19.9,53,5,53.6,23.2,35.1,14.9,692.3,23.4
05105,5,105,AR,Arkansas,Perry,1428543051,353000.3635,68.3,2828.9,1908.4,1222.1,1558.9,2086.1,989.6,4643.3,2085.1
05107,5,107,AR,Arkansas,Phillips,1801429477,445142.5246,4526.1,64844.2,124095.2,105342.8,127393.6,162320.7,157175.8,158301.6,122534.1
05109,5,109,AR,Arkansas,Pike,1555599952,384396.7797,21.7,263.7,610.5,407.1,355.4,303.2,1119.4,202.6,211
05111,5,111,AR,Arkansas,Poinsett,1964147526,485350.9946,732.3,77322.6,101174.3,114965.7,140389.5,152583.7,170015.8,126457.8,191502.2
05113,5,113,AR,Arkansas,Polk,2221382755,548915.1478,63.6,72.4,658,677.5,359.2,36.2,18.6,316.1,186.4
05115,5,115,AR,Arkansas,Pope,2104418088,520012.5747,175.9,7491.1,4752.6,17076.7,5708.7,5037,2197.5,7839.9,3229.8
05117,5,117,AR,Arkansas,Prairie,1678019592,414647.3048,3270.4,25801.7,39006.1,38014.3,59806.8,57094.4,62544,80043.6,76733.3
05119,5,119,AR,Arkansas,Pulaski,1965575733,485703.9119,423.4,21369.4,26273.7,12536.8,15714.5,19517.7,8512.5,26207.3,19181.1
05121,5,121,AR,Arkansas,Randolph,1689288878,417432.0036,186.4,17212.6,15668.6,27076.4,25958.2,27900.4,26599.8,25630.2,38102.9
05123,5,123,AR,Arkansas,St. Francis,1644132565,406273.6455,3954,36550,55736,50823,75803.2,87953.5,92856.9,111909.2,89098.2
05125,5,125,AR,Arkansas,Saline,1873978476,463069.7568,56.1,229.7,253.7,177.9,262.7,257.1,87.6,673.5,158.8
05127,5,127,AR,Arkansas,Scott,2311063525,571075.7291,53.5,55.2,469.7,457.1,245.5,24.6,8.8,277.6,200.4
05129,5,129,AR,Arkansas,Searcy,1725176973,426300.1371,76,137.2,417.6,430.6,162.7,26.4,130.5,1578.1,44.8
05131,5,131,AR,Arkansas,Sebastian,1377601663,340412.4835,76.9,2334.8,3120,6743.4,1683.6,1809,629.2,3391.4,756.8
05133,5,133,AR,Arkansas,Sevier,1463680831,361683.0903,47.7,232.3,650.7,486.1,417.9,351.5,1109.5,326.4,369.1
05135,5,135,AR,Arkansas,Sharp,1565460785,386833.4425,73.9,404.7,691.5,721.2,587.8,357.9,230.7,1545.9,50.2
05137,5,137,AR,Arkansas,Stone,1570579424,388098.2846,58.9,35,291.1,339.7,93.4,14.2,49.9,1127,72.9
05139,5,139,AR,Arkansas,Union,2691555882,665097.355,18.9,57.5,4.2,56.6,28.7,39.7,15.7,963.1,17.6
05141,5,141,AR,Arkansas,Van Buren,1838200422,454228.8149,141.6,770.8,212.2,1027.3,160.5,184.4,106.6,830.4,66.7
05143,5,143,AR,Arkansas,Washington,2439678769,602857.2199,371.7,552.6,2580.9,959.4,387.7,194.4,224.9,2716.7,1240.2
05145,5,145,AR,Arkansas,White,2680852086,662452.3917,225.5,20278.5,14845.2,28798.3,22420.6,32213.3,25654,27679.1,30646.3
05147,5,147,AR,Arkansas,Woodruff,1519723278,375531.4683,3609.6,31067,43457.6,42461.7,65552.4,71394.5,82374.3,102293.7,87615.6
05149,5,149,AR,Arkansas,Yell,2409046726,595287.8839,117.9,8048.1,13239.3,18503,5674.1,7663.3,2291.5,7821.5,2261.2
06001,6,1,CA,California,Alameda,1909616630,471876.1287,98.4,328.2,426,879.9,1070.2,788.3,1844.8,841.6,4093.1
06003,6,3,CA,California,Alpine,1912292631,472537.3823,0,0,0,0,0,0,9.1,0.3,19.6
06005,6,5,CA,California,Amador,1539933576,380525.5373,45,580.6,958.8,887.9,1354.2,1095.6,1831.9,869.4,2031.5
06007,6,7,CA,California,Butte,4238438196,1047339.961,3715.3,48858.3,46568.7,57929.8,59172.5,65509.1,71839.3,42769.1,81449.5
06009,6,9,CA,California,Calaveras,2641829199,652809.6349,33.4,1562.1,565.4,1757.1,2490.4,2347.4,2563.3,1155.8,587.8
06011,6,11,CA,California,Colusa,2980332860,736455.6372,3508.1,21536.7,14455.1,26799,13848.9,22579.6,35755.6,39010.7,65609.7
06013,6,13,CA,California,Contra Costa,1857310903,458951.1135,429.8,4184.4,2993.3,4542.8,6463.9,5632.7,5161.1,6187.3,9537.2
06015,6,15,CA,California,Del Norte,2606117992,643985.2113,0,377.6,447.9,497.6,441.7,488.1,422.5,218.2,450.3
06017,6,17,CA,California,El Dorado,4423290535,1093017.929,10.9,258.2,405.5,524.4,670.5,2293.4,4164.3,1169.3,1778.5
06019,6,19,CA,California,Fresno,15431410219,3813181.138,100540.8,245972.1,230561.5,451761.5,257383,295247.3,368980.3,487901.8,643431.1
06021,6,21,CA,California,Glenn,3403149421,840935.7924,3639.7,8937.4,31751.2,44220.4,38065.4,39432.5,41379.2,67121.1,73766.7
06023,6,23,CA,California,Humboldt,9241251740,2283561.018,0,0,1255.8,1214.9,1289.3,1249.8,831.4,62.8,20.1
06025,6,25,CA,California,Imperial,10817291631,2673008.612,1387.9,11361.2,11338.3,14015.7,13967.3,15813.6,16969.7,8994.9,42477.3
06027,6,27,CA,California,Inyo,26368508430,6515794.574,26.7,0,0,0,0,0,0,0,504.6
06029,6,29,CA,California,Kern,21062393794,5204626.252,66683.1,198389.9,169850.4,183154,215554.4,239619.8,298100.2,475126.4,590143.3
06031,6,31,CA,California,Kings,3598593366,889231.0003,63312,44630.4,73012.9,77821,83741.3,106710.4,134245.7,160160.6,157149.1
06033,6,33,CA,California,Lake,3254348631,804166.349,326.5,4786.5,3215.8,5325.2,6880.2,4070.3,5184.7,3136.5,5436.6
